Id,sleep_day,total_sleep_records,total_minutes_asleep,total_time_in_bed
6962181067,5/11/2016 0:00,1,452,480
5553957443,5/9/2016 0:00,1,453,494
4702921684,4/20/2016 0:00,1,454,468
5553957443,4/13/2016 0:00,2,455,488
6962181067,4/27/2016 0:00,1,455,467
2026352035,5/12/2016 0:00,1,456,485
7086361926,5/3/2016 0:00,1,456,461
4445114986,5/9/2016 0:00,1,457,533
4702921684,4/19/2016 0:00,1,457,487
8378563200,4/24/2016 0:00,1,458,492
8792009665,4/12/2016 0:00,1,458,493
5577150313,4/29/2016 0:00,1,459,485
8378563200,5/7/2016 0:00,2,459,513
2347167796,4/21/2016 0:00,1,460,484
2026352035,4/20/2016 0:00,1,461,510
4319703577,4/19/2016 0:00,2,461,498
4445114986,4/16/2016 0:00,1,462,499
4445114986,5/5/2016 0:00,2,462,513
5553957443,5/11/2016 0:00,1,463,486
2347167796,4/19/2016 0:00,1,465,514
4319703577,4/15/2016 0:00,1,465,491
4702921684,4/23/2016 0:00,1,465,475
6117666160,4/19/2016 0:00,1,465,492
6962181067,5/2/2016 0:00,1,466,482
2347167796,4/13/2016 0:00,1,467,531
4319703577,4/24/2016 0:00,1,467,501
6962181067,5/5/2016 0:00,1,467,491
2026352035,5/5/2016 0:00,1,468,485
8378563200,4/30/2016 0:00,1,468,555
4388161847,5/11/2016 0:00,1,469,494
6962181067,5/10/2016 0:00,1,469,481
7086361926,4/27/2016 0:00,1,469,479
4388161847,5/5/2016 0:00,1,471,495
4388161847,5/7/2016 0:00,1,472,496
7086361926,4/14/2016 0:00,1,472,476
7086361926,4/19/2016 0:00,1,472,483
4319703577,5/3/2016 0:00,1,474,512
6117666160,4/20/2016 0:00,1,474,502
1927972279,4/15/2016 0:00,2,475,499
8378563200,5/1/2016 0:00,1,475,539
6962181067,4/19/2016 0:00,1,476,535
2026352035,4/21/2016 0:00,1,477,514
5577150313,4/14/2016 0:00,1,477,497
4020332650,5/4/2016 0:00,1,478,536
4319703577,5/2/2016 0:00,1,478,506
4388161847,4/23/2016 0:00,1,478,501
4702921684,4/30/2016 0:00,1,479,501
4702921684,4/24/2016 0:00,1,480,506
6117666160,4/22/2016 0:00,1,480,546
7086361926,5/8/2016 0:00,1,481,510
4445114986,5/12/2016 0:00,1,483,501
4319703577,5/1/2016 0:00,1,484,500
7086361926,4/26/2016 0:00,1,485,500
7086361926,4/30/2016 0:00,1,485,489
8053475328,4/20/2016 0:00,1,486,493
8792009665,4/14/2016 0:00,1,486,503
4319703577,5/10/2016 0:00,1,487,517
4319703577,4/25/2016 0:00,1,488,506
6962181067,5/9/2016 0:00,1,489,497
2026352035,4/29/2016 0:00,1,490,510
4319703577,4/30/2016 0:00,1,490,516
6117666160,4/23/2016 0:00,1,492,539
6117666160,5/9/2016 0:00,1,492,522
7086361926,4/20/2016 0:00,1,492,502
6117666160,4/18/2016 0:00,2,493,510
8378563200,5/12/2016 0:00,1,496,546
4319703577,4/28/2016 0:00,1,497,522
2026352035,4/19/2016 0:00,1,498,540
6117666160,5/7/2016 0:00,2,498,507
4388161847,4/15/2016 0:00,1,499,526
4445114986,5/11/2016 0:00,1,499,530
2347167796,4/18/2016 0:00,1,500,557
4020332650,4/12/2016 0:00,1,501,541
4445114986,5/2/2016 0:00,1,502,542
2026352035,4/12/2016 0:00,1,503,546
8792009665,5/1/2016 0:00,1,503,527
5577150313,5/10/2016 0:00,1,504,562
4319703577,4/26/2016 0:00,1,505,516
2026352035,4/25/2016 0:00,1,506,531
4319703577,4/16/2016 0:00,1,506,522
8378563200,4/28/2016 0:00,1,506,556
4319703577,5/7/2016 0:00,1,507,530
6117666160,5/1/2016 0:00,1,507,575
2026352035,4/27/2016 0:00,1,508,545
5577150313,5/3/2016 0:00,1,508,543
6117666160,4/21/2016 0:00,1,508,550
6962181067,4/14/2016 0:00,2,508,535
2026352035,5/2/2016 0:00,1,511,543
2026352035,5/7/2016 0:00,1,511,521
6962181067,4/24/2016 0:00,1,511,514
2026352035,4/28/2016 0:00,1,513,545
8378563200,4/15/2016 0:00,1,513,533
7086361926,4/12/2016 0:00,1,514,525
4319703577,4/18/2016 0:00,1,515,551
6962181067,5/12/2016 0:00,1,516,535
8792009665,5/3/2016 0:00,1,516,545
2026352035,4/22/2016 0:00,1,520,545
4702921684,5/7/2016 0:00,1,520,543
5553957443,4/18/2016 0:00,2,520,541
2026352035,4/23/2016 0:00,1,522,554
2026352035,4/15/2016 0:00,1,523,573
2026352035,5/11/2016 0:00,1,523,553
4319703577,4/20/2016 0:00,1,523,543
4319703577,4/29/2016 0:00,1,523,546
2026352035,4/16/2016 0:00,1,524,567
2026352035,5/6/2016 0:00,1,524,548
5577150313,5/2/2016 0:00,2,525,553
8378563200,4/17/2016 0:00,2,525,591
2026352035,5/1/2016 0:00,1,527,546
5577150313,4/18/2016 0:00,1,527,553
8378563200,4/29/2016 0:00,1,527,562
6962181067,4/23/2016 0:00,1,528,546
8792009665,4/20/2016 0:00,1,528,547
4319703577,5/11/2016 0:00,1,529,558
4388161847,5/8/2016 0:00,2,529,541
7086361926,5/7/2016 0:00,1,530,548
2026352035,4/13/2016 0:00,1,531,565
2026352035,5/9/2016 0:00,1,531,556
8378563200,4/27/2016 0:00,1,531,600
8792009665,4/13/2016 0:00,1,531,552
4319703577,4/22/2016 0:00,1,533,550
4319703577,4/14/2016 0:00,1,535,557
4319703577,5/9/2016 0:00,1,535,565
2026352035,5/4/2016 0:00,1,538,560
2026352035,5/8/2016 0:00,1,541,568
6962181067,5/8/2016 0:00,1,541,569
6117666160,4/27/2016 0:00,1,542,557
5577150313,4/24/2016 0:00,1,543,615
2026352035,4/14/2016 0:00,1,545,568
8378563200,5/8/2016 0:00,1,545,606
4388161847,5/1/2016 0:00,1,547,597
5577150313,4/17/2016 0:00,1,549,583
8378563200,4/26/2016 0:00,1,550,584
4388161847,4/24/2016 0:00,3,552,595
5553957443,4/24/2016 0:00,2,553,640
2026352035,4/24/2016 0:00,1,555,591
6117666160,5/8/2016 0:00,1,555,603
2347167796,4/17/2016 0:00,1,556,602
8378563200,4/23/2016 0:00,1,565,591
5553957443,5/8/2016 0:00,1,568,608
2026352035,4/30/2016 0:00,1,573,607
1844505072,5/1/2016 0:00,1,590,961
4702921684,4/17/2016 0:00,1,591,612
1503960366,5/8/2016 0:00,1,594,611
6117666160,4/29/2016 0:00,1,600,636
4319703577,5/8/2016 0:00,1,602,638
5577150313,5/4/2016 0:00,1,603,634
8378563200,4/16/2016 0:00,2,611,689
4388161847,4/17/2016 0:00,2,619,641
5553957443,5/1/2016 0:00,2,622,686
6962181067,4/13/2016 0:00,3,630,679
5553957443,4/23/2016 0:00,2,631,725
1844505072,4/15/2016 0:00,1,644,961
5553957443,4/16/2016 0:00,2,651,686
5553957443,4/20/2016 0:00,1,658,678
6117666160,5/6/2016 0:00,2,658,698
7086361926,4/24/2016 0:00,1,681,704
4319703577,4/23/2016 0:00,1,692,722
1503960366,4/17/2016 0:00,1,700,712
1844505072,4/30/2016 0:00,1,722,961
1927972279,4/12/2016 0:00,3,750,775
5553957443,4/30/2016 0:00,2,775,843
1644430081,5/2/2016 0:00,1,796,961
